dt_iso,city_name,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
2017-09-03 02:00:00+02:00, Barcelona,295.65,294.15,297.15,1020,68,2,20,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-03 03:00:00+02:00, Barcelona,294.65,294.15,295.15,1019,68,1,0,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-03 04:00:00+02:00, Barcelona,293.15,293.15,293.15,1018,68,0,360,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-03 05:00:00+02:00, Barcelona,292.15,291.15,293.15,1018,77,0,0,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-03 06:00:00+02:00, Barcelona,291.15,290.15,292.15,1017,82,5,197,0.0,0.0,0.0,8,800,clear,sky is clear,02n
2017-09-03 07:00:00+02:00, Barcelona,290.65,290.15,291.15,1017,82,5,239,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-03 08:00:00+02:00, Barcelona,290.65,290.15,291.15,1017,82,0,0,0.0,0.0,0.0,0,800,clear,sky is clear,01d
2017-09-03 09:00:00+02:00, Barcelona,291.65,291.15,292.15,1017,77,5,239,0.0,0.0,0.0,20,801,clouds,few clouds,02d
2017-09-03 10:00:00+02:00, Barcelona,293.15,293.15,293.15,1017,72,0,0,0.0,0.0,0.0,20,801,clouds,few clouds,02d
2017-09-03 11:00:00+02:00, Barcelona,296.15,296.15,296.15,1017,60,4,249,0.0,0.0,0.0,20,801,clouds,few clouds,02d
2017-09-03 12:00:00+02:00, Barcelona,296.65,296.15,297.15,1016,57,0,170,0.0,0.0,0.0,20,801,clouds,few clouds,02d
2017-09-03 13:00:00+02:00, Barcelona,297.65,297.15,298.15,1016,44,0,160,0.0,0.0,0.0,20,801,clouds,few clouds,02d
2017-09-03 14:00:00+02:00, Barcelona,298.15,297.15,299.15,1014,36,1,160,0.0,0.0,0.0,20,801,clouds,few clouds,02d
2017-09-03 15:00:00+02:00, Barcelona,299.15,298.15,300.15,1015,34,3,160,0.0,0.0,0.0,20,801,clouds,few clouds,02d
2017-09-03 16:00:00+02:00, Barcelona,298.65,298.15,299.15,1014,50,5,110,0.0,0.0,0.0,40,802,clouds,scattered clouds,03d
2017-09-03 17:00:00+02:00, Barcelona,299.65,299.15,300.15,1013,54,5,120,0.0,0.0,0.0,40,802,clouds,scattered clouds,03d
2017-09-03 18:00:00+02:00, Barcelona,298.65,298.15,299.15,1013,61,6,110,0.0,0.0,0.0,20,801,clouds,few clouds,02d
2017-09-03 19:00:00+02:00, Barcelona,298.65,298.15,299.15,1013,69,5,120,0.0,0.0,0.0,40,802,clouds,scattered clouds,03d
2017-09-03 20:00:00+02:00, Barcelona,297.15,296.15,298.15,1013,78,3,100,0.0,0.0,0.0,40,802,clouds,scattered clouds,03d
2017-09-03 21:00:00+02:00, Barcelona,296.65,296.15,297.15,1014,73,2,110,0.0,0.0,0.0,12,801,clouds,few clouds,02n
2017-09-03 22:00:00+02:00, Barcelona,296.15,295.15,297.15,1014,78,1,0,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-03 23:00:00+02:00, Barcelona,296.15,295.15,297.15,1014,78,1,0,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-04 00:00:00+02:00, Barcelona,295.65,295.15,296.15,1014,78,0,0,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-04 01:00:00+02:00, Barcelona,295.65,295.15,296.15,1014,73,0,0,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-04 02:00:00+02:00, Barcelona,294.65,294.15,295.15,1014,77,1,248,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-04 03:00:00+02:00, Barcelona,294.65,294.15,295.15,1014,83,0,90,0.3,0.0,0.0,48,500,rain,light rain,10n
2017-09-04 04:00:00+02:00, Barcelona,293.65,293.15,294.15,1014,94,1,270,0.3,0.0,0.0,92,500,rain,light rain,10n
2017-09-04 05:00:00+02:00, Barcelona,293.65,293.15,294.15,1013,94,1,170,0.3,0.0,0.0,92,520,rain,light intensity shower rain,09n
2017-09-04 06:00:00+02:00, Barcelona,293.65,293.15,294.15,1013,94,1,300,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-04 07:00:00+02:00, Barcelona,293.65,293.15,294.15,1013,94,4,24,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-04 08:00:00+02:00, Barcelona,293.65,293.15,294.15,1014,94,4,24,0.0,0.0,0.0,0,800,clear,sky is clear,01d
2017-09-04 09:00:00+02:00, Barcelona,293.65,293.15,294.15,1015,94,0,0,0.0,0.0,0.0,40,802,clouds,scattered clouds,03d
2017-09-04 10:00:00+02:00, Barcelona,294.65,294.15,295.15,1015,88,2,109,0.0,0.0,0.0,40,802,clouds,scattered clouds,03d
2017-09-04 11:00:00+02:00, Barcelona,296.65,296.15,297.15,1016,73,3,30,0.0,0.0,0.0,40,802,clouds,scattered clouds,03d
2017-09-04 12:00:00+02:00, Barcelona,298.15,298.15,298.15,1016,61,2,80,0.0,0.0,0.0,20,801,clouds,few clouds,02d
2017-09-04 13:00:00+02:00, Barcelona,299.15,298.15,300.15,1017,54,1,90,0.0,0.0,0.0,20,801,clouds,few clouds,02d
2017-09-04 14:00:00+02:00, Barcelona,299.15,299.15,299.15,1017,61,4,150,0.0,0.0,0.0,40,802,clouds,scattered clouds,03d
2017-09-04 15:00:00+02:00, Barcelona,299.65,299.15,300.15,1017,57,5,130,0.0,0.0,0.0,20,801,clouds,few clouds,02d
2017-09-04 16:00:00+02:00, Barcelona,299.15,299.15,299.15,1017,61,5,130,0.0,0.0,0.0,20,801,clouds,few clouds,02d
2017-09-04 17:00:00+02:00, Barcelona,299.65,299.15,300.15,1017,57,5,120,0.0,0.0,0.0,20,801,clouds,few clouds,02d
2017-09-04 18:00:00+02:00, Barcelona,299.15,299.15,299.15,1018,57,5,130,0.0,0.0,0.0,40,802,clouds,scattered clouds,03d
2017-09-04 19:00:00+02:00, Barcelona,298.65,298.15,299.15,1018,61,5,130,0.0,0.0,0.0,40,802,clouds,scattered clouds,03d
2017-09-04 20:00:00+02:00, Barcelona,297.65,297.15,298.15,1019,69,3,120,0.0,0.0,0.0,0,800,clear,sky is clear,01d
2017-09-04 21:00:00+02:00, Barcelona,297.15,297.15,297.15,1019,64,0,0,0.0,0.0,0.0,8,800,clear,sky is clear,02n
2017-09-04 22:00:00+02:00, Barcelona,296.65,296.15,297.15,1020,73,0,0,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-04 23:00:00+02:00, Barcelona,295.65,294.15,297.15,1020,77,0,0,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-05 00:00:00+02:00, Barcelona,295.15,293.15,297.15,1021,82,2,270,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-05 01:00:00+02:00, Barcelona,293.84,292.15,295.15,1021,88,1,280,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-05 02:00:00+02:00, Barcelona,293.15,292.15,294.15,1021,88,1,290,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-05 03:00:00+02:00, Barcelona,293.15,292.15,294.15,1021,88,1,270,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-05 04:00:00+02:00, Barcelona,292.65,291.15,294.15,1021,88,0,0,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-05 05:00:00+02:00, Barcelona,292.65,291.15,294.15,1021,88,1,259,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-05 06:00:00+02:00, Barcelona,292.15,291.15,293.15,1021,88,1,280,0.0,0.0,0.0,0,800,clear,sky is clear,01n
2017-09-05 07:00:00+02:00, Barcelona,292.15,291.15,293.15,1021,88,2,280,0.0,0.0,0.0,0,800,clear,sky is clear,01n
